,Mississippi,Okanvango,Owens
0,0.515,0.505,0.517
1,0.432,0.417,0.46
2,0.417,0.396,0.451
3,0.404,0.394,0.427
4,0.39,0.382,0.424
5,0.383,0.382,0.417
6,0.378,0.382,0.415
7,0.382,0.378,0.409
8,0.368,0.367,0.412
9,0.373,0.37,0.414
10,0.373,0.366,0.404
11,0.373,0.365,0.408
12,0.376,0.364,0.41
13,0.368,0.359,0.404
14,0.373,0.363,0.407
15,0.371,0.364,0.407
16,0.364,0.362,0.405
17,0.366,0.369,0.409
18,0.362,0.366,0.407
19,0.37,0.364,0.404
20,0.369,0.363,0.409
21,0.364,0.357,0.408
22,0.363,0.364,0.407
23,0.362,0.357,0.4
24,0.364,0.361,0.404
25,0.362,0.36,0.403
26,0.364,0.362,0.406
27,0.365,0.361,0.403
28,0.366,0.361,0.403
29,0.366,0.359,0.401
30,0.366,0.361,0.402
31,0.368,0.361,0.403
32,0.366,0.358,0.399
33,0.363,0.36,0.401
34,0.366,0.361,0.404
35,0.367,0.361,0.402
36,0.367,0.359,0.402
37,0.365,0.359,0.401
38,0.36,0.362,0.403
39,0.365,0.357,0.398
40,0.363,0.362,0.404
41,0.364,0.359,0.4
42,0.364,0.362,0.401
43,0.363,0.362,0.403
44,0.364,0.358,0.404
45,0.366,0.358,0.402
46,0.364,0.359,0.403
47,0.364,0.36,0.4
48,0.363,0.358,0.399
49,0.363,0.357,0.401
50,0.365,0.357,0.402
51,0.359,0.36,0.402
52,0.364,0.357,0.4
53,0.362,0.359,0.399
54,0.361,0.355,0.402
55,0.363,0.359,0.402
56,0.362,0.356,0.4
57,0.366,0.358,0.4
58,0.363,0.358,0.401
59,0.365,0.358,0.402
60,0.362,0.359,0.402
61,0.362,0.36,0.404
62,0.361,0.355,0.401
63,0.361,0.358,0.402
64,0.362,0.356,0.398
65,0.36,0.356,0.402
66,0.363,0.357,0.399
67,0.362,0.359,0.4
68,0.362,0.359,0.4
69,0.362,0.358,0.4
70,0.363,0.358,0.4
71,0.363,0.356,0.399
72,0.361,0.359,0.401
73,0.363,0.358,0.399
74,0.363,0.356,0.4
75,0.362,0.355,0.401
76,0.363,0.356,0.401
77,0.361,0.357,0.401
78,0.363,0.355,0.402
79,0.364,0.357,0.4
80,0.362,0.358,0.401
81,0.362,0.356,0.4
82,0.361,0.359,0.4
83,0.364,0.358,0.401
84,0.363,0.358,0.399
85,0.36,0.357,0.4
86,0.362,0.357,0.4
87,0.363,0.356,0.401
88,0.362,0.357,0.401
89,0.363,0.355,0.401
90,0.362,0.356,0.401
91,0.362,0.359,0.4
92,0.362,0.356,0.401
93,0.361,0.356,0.399
94,0.362,0.358,0.4
95,0.363,0.356,0.401
96,0.361,0.356,0.398
97,0.36,0.357,0.4
98,0.361,0.357,0.401
99,0.361,0.358,0.401
100,0.362,0.356,0.4
101,0.361,0.356,0.4
102,0.362,0.357,0.401
103,0.362,0.356,0.4
104,0.361,0.358,0.4
105,0.362,0.357,0.401
106,0.361,0.357,0.4
107,0.361,0.358,0.399
108,0.362,0.357,0.399
109,0.361,0.358,0.4
110,0.363,0.358,0.398
111,0.36,0.357,0.399
112,0.361,0.357,0.399
113,0.362,0.357,0.399
114,0.362,0.357,0.399
115,0.361,0.356,0.399
116,0.361,0.358,0.4
117,0.363,0.356,0.4
118,0.362,0.357,0.399
119,0.36,0.356,0.4
120,0.361,0.356,0.4
121,0.361,0.356,0.4
122,0.362,0.357,0.4
123,0.362,0.358,0.4
124,0.361,0.356,0.4
125,0.361,0.355,0.4
126,0.363,0.357,0.401
127,0.362,0.357,0.4
128,0.36,0.358,0.4
129,0.361,0.357,0.4
130,0.361,0.357,0.399
131,0.362,0.356,0.399
132,0.361,0.356,0.4
133,0.362,0.356,0.4
134,0.362,0.356,0.4
135,0.363,0.358,0.4
136,0.362,0.357,0.4
137,0.361,0.357,0.401
138,0.361,0.358,0.399
139,0.361,0.357,0.4
140,0.361,0.358,0.399
141,0.362,0.357,0.399
142,0.362,0.356,0.4
143,0.361,0.355,0.4
144,0.362,0.356,0.399
145,0.361,0.357,0.4
146,0.363,0.358,0.401
147,0.361,0.356,0.4
148,0.363,0.358,0.399
149,0.361,0.357,0.399
150,0.361,0.356,0.4
151,0.361,0.357,0.399
152,0.362,0.357,0.399
153,0.361,0.357,0.4
154,0.361,0.357,0.4
155,0.361,0.356,0.399
156,0.361,0.356,0.4
157,0.361,0.357,0.399
158,0.362,0.357,0.399
159,0.361,0.356,0.4
160,0.362,0.357,0.399
161,0.361,0.358,0.399
162,0.361,0.356,0.399
163,0.361,0.356,0.4
164,0.361,0.357,0.399
165,0.362,0.356,0.399
166,0.361,0.357,0.399
167,0.36,0.358,0.398
168,0.362,0.357,0.401
169,0.361,0.357,0.399
170,0.36,0.357,0.4
171,0.361,0.356,0.4
172,0.361,0.356,0.399
173,0.361,0.357,0.399
174,0.361,0.356,0.4
175,0.361,0.356,0.398
176,0.361,0.356,0.401
177,0.361,0.357,0.4
178,0.361,0.355,0.399
179,0.362,0.356,0.4
180,0.361,0.357,0.4
181,0.361,0.356,0.4
182,0.361,0.356,0.4
183,0.361,0.356,0.4
184,0.361,0.356,0.399
185,0.361,0.356,0.4
186,0.36,0.357,0.4
187,0.361,0.357,0.399
188,0.361,0.357,0.4
189,0.362,0.356,0.4
190,0.36,0.357,0.4
191,0.362,0.356,0.399
192,0.361,0.357,0.4
193,0.362,0.357,0.399
194,0.361,0.357,0.4
195,0.361,0.357,0.399
196,0.36,0.356,0.399
197,0.361,0.357,0.399
198,0.361,0.357,0.399
199,0.361,0.356,0.399
