,Dispersion,River
0,Ashburton,0.735
1,At-Bashi,0.673
2,Copper,0.691
3,Godley,0.738
4,Grafe Peak,0.624
5,Halfafall,0.671
6,Hrafnabjorg,0.726
7,Jökulsá í Fljótsdal,0.747
8,Jökulsá í Lóni,0.72
9,Krossa,0.73
10,Matukituki,0.604
11,Pykkvabaejarklaustur,0.739
12,Rakaia Tributary 1,0.753
13,Rakaia Tributary 2,0.682
14,Rakaira Tributary 3,0.615
15,Rangitata,0.726
16,Skaftafell,0.755
17,Skeiðará Bridge,0.709
18,Son-Kul,0.652
19,Tasman,0.718
20,Tekapo,0.742
21,Waitaki,0.699
22,Waimakariri,0.654
23,Wgreenland,0.689
24,WGreenland 2,0.731
25,Meduna Right,0.774
26,Meduna Left,0.763
27,Silfrastadhir,0.757
28,Iceland 1,0.727
29,Iceland 2 ,0.731
30,Brahmaputra,0.629
31,Rangitata.1,0.746
32,Sag,0.734
33,Biatka,0.736
34,Delta,0.679
35,Koshi,0.651
36,Loup ,0.72
37,Ganges,0.752
38,Athabasca,0.732
39,Brahmaputra 2,0.712
40,Tanana,0.743
41,McKinley,0.741
42,White,0.698
43,Tanana Tributary,0.726
44,Susitina,0.684
45,Fiume Trionto,0.753
46,Torrente Satanasso,0.744
47,Fiumara Saraceno,0.758
48,Fiume Sarmento,0.738
49,SE Iceland,0.743
50,Knik,0.712
